ptr,size,timestamp_alloc,timestamp_free,lifetime_ns,source,active
0x5dedc24f5770,69,485272588538,0,490048625,malloc,1
0x5dedc262a460,52552,485272598575,0,490039881,malloc,1
0x5dedc24f3c30,69,485272642071,485272645084,3013,malloc,0
0x5dedc24f57c0,72,485272642558,0,489998415,malloc,1
0x5dedc24f5810,69,485272642888,0,489999264,malloc,1
0x5dedc26371b0,32736,485272754214,0,489889147,malloc,1
0x5dedc24f3c30,68,485272793549,485272797934,4385,malloc,0
0x5dedc24f5860,72,485272794525,0,489851347,malloc,1
0x5dedc24f58b0,68,485272794977,0,489852127,malloc,1
0x5dedc263f1a0,14680,485272970033,0,489678347,malloc,1
0x5dedc24f3c30,63,485272978896,485272981892,2996,malloc,0
0x5dedc24f5900,72,485272979295,0,489671605,malloc,1
0x5dedc24f5950,63,485272979614,0,489672461,malloc,1
0x5dedc2642b00,24008,485272985294,0,489667999,malloc,1
0x5dedc24f3c30,58,485273085888,485273089027,3139,malloc,0
0x5dedc24f59a0,72,485273086549,0,489569311,malloc,1
0x5dedc24f59f0,58,485273086821,0,489570219,malloc,1
0x5dedc26488d0,44816,485273181807,0,489476472,malloc,1
0x5dedc24f3c30,69,485273224959,485273234160,9201,malloc,0
0x5dedc24f5a40,72,485273225640,0,489435176,malloc,1
0x5dedc24f5a90,69,485273225892,0,489436112,malloc,1
